Barcode,Original (List) Price,Sale Price,Stock
197214898100,,,1
197214897592,,,1
197214897585,,,2
197214897578,,,2
197214897608,,,1
197214897943,,,5
197214897936,,,11
197214897967,,,1
197214897790,,,2
197214897776,,,3
197214897769,,,10
197214897752,,,6
197214897783,,,2
197214896908,,,1
197214897035,,,1
197214897523,,,2
197214897516,,,1
197214897165,,,2
197214897158,,,1
197214897400,,,4
197214897394,,,3
197214897424,,,1
197214897134,,,1
197214897110,,,5
197214897103,,,5
197214897127,,,3
197214897219,,,2
197214877389,,,1
197214877372,,,8
197214896403,,,5
197214896632,,,2
197214896625,,,2
197214896618,,,2
197214896748,,,1
197214896731,,,1
197215898314,,,2
197371272515,,,2
197371272492,,,2
197371272522,,,2
197371275103,,,1
197371275097,,,4
197371275080,,,3
197371338464,,,2
197371305886,,,1
197371307194,,,63
197371307163,,,49
197371996916,,,4
197371996909,,,3
197371996930,,,2
197372116443,,,4
197372116436,,,4
197372116429,,,1
197372116450,,,1
197373772181,,,1
197373890533,,,1
197373884563,,,1
197373884648,,,12
197373890090,,,1
197373893749,,,1
197373921084,,,2
197373937818,,,1
197373937801,,,1
197373924023,,,1
197373924016,,,4
197373924009,,,2
197373924030,,,3
197373925419,,,2
197373925273,,,2
197373928656,,,2
197373933131,,,1
197373939911,,,1
197373940030,,,1
197373940054,,,1
197374041989,,,10
197374040487,,,50
197374041996,,,15
197374041972,,,52
197374041965,,,30
197374041842,,,5
197374041828,,,62
197374041934,,,130
197374041958,,,3
197374041910,,,30
197374041927,,,5
197374041873,,,17
197374041897,,,42
197374042672,,,113
197882664144,,,2
197882665110,,,1
197882666735,,,1
197882666711,,,1
197882663666,,,1
197882665165,,,1
197882661310,,,1
197882662294,,,1
197882807589,,,1
197882805561,,,1
197882805257,,,1
197882991370,,,1
197882944154,,,6
197882991059,,,6
197882991271,,,1
197882991257,,,5
197882991240,,,58
197882991110,,,2
197882991134,,,3
197882991103,,,3
197882991127,,,26
197882944123,,,7
197882991080,,,24
197882944116,,,3
197882991301,,,57
197883136923,,,18
197883295736,,,2
197883295620,,,1
197883229670,,,23
197883228383,,,1
197883645784,,,1
197883645760,,,2
197883645753,,,1
197883645777,,,1
197883645449,,,1
197883643421,,,1
197883643414,,,3
197883643407,,,2
197883643438,,,2
197883643452,,,1
197883644015,,,3
197883644008,,,3
197883644039,,,2
197883644053,,,1
197883643841,,,1
197883643834,,,3
197883643827,,,3
197883643858,,,2
197883643872,,,1
198058828988,,,6
198058828995,,,10
198058829008,,,5
198058828742,,,9
198058828759,,,22
198058828766,,,5
198058828773,,,7
198058828780,,,17
198058828797,,,6
198058829015,,,3
198058829022,,,2
198058829039,,,9
198058828896,,,15
198058829046,,,5
198058829053,,,12
198058828957,,,7
198058828964,,,14
198058828971,,,4
198058847316,,,2
198058847309,,,2
198058847323,,,2
198058845510,,,1
198058845503,,,2
198058845497,,,3
198058845527,,,1
198058842274,,,1
198058842267,,,3
198058842250,,,1
198058842281,,,1
198058839809,,,1
198058839793,,,3
198058839823,,,1
198058839731,,,1
198058839762,,,1
198058839212,,,1
198058839205,,,3
198058839199,,,2
198058839229,,,1
198058847842,,,2
